Ticker,Name,"OPM
","Mcap
","DivY
","ICB_sector
","ICB_supersector
","P/B
","P/E
"
5998 JT Equity,Advanex Inc,1.38429904,12065540096,,Industrial Machinery,Industrial Goods & Services,1.777135134,132.8911285
9006 JT Equity,Keikyu Corp,12.18769073,5.11E+11,0.75553157,Travel & Tourism,Travel & Leisure,1.985665083,122.8454208
4337 JT Equity,PIA Corp,1.171056986,86725115904,,Recreational Services,Travel & Leisure,11.64872169,119.7653275
8150 JT Equity,Sanshin Electronics Co Ltd,0.479559004,64155488256,,Electrical Components & Equipment,Industrial Goods & Services,1.000346422,118.368454
4911 JT Equity,Shiseido Co Ltd,8.003188133,2.68E+12,0.554069839,Personal Products,Personal & Household Goods,6.311504364,117.6997299
3694 JT Equity,Optim Corp,20.67128944,33636401152,,Software,Technology,12.83415794,115.6797714
3769 JT Equity,GMO Payment Gateway Inc,23.01215744,3.71E+11,0.515190384,Financial Administration,Industrial Goods & Services,19.10319901,114.4364166
2882 JT Equity,EAT&Co Ltd,2.308820963,17911134208,0.371471025,Restaurants & Bars,Travel & Leisure,3.744211912,112.9115677
2594 JT Equity,Key Coffee Inc,2.185853004,48236814336,,Soft Drinks,Food & Beverage,1.324562073,112.4867706
3938 JT Equity,LINE Corp,15.00356007,1.00E+12,0.010835399,Internet,Technology,5.383043289,111.4801941
6191 JT Equity,Evolable Asia Corp,13.20613289,36847620096,0.470366886,Travel & Tourism,Travel & Leisure,10.16312122,111.2640457
3099 JT Equity,Isetan Mitsukoshi Holdings Ltd,1.909518957,4.48E+11,1.067998254,Broadline Retailers,Retail,0.759040356,111.1764755
2685 JT Equity,Adastria Co Ltd,2.24654007,96819200000,3.024193548,Apparel Retailers,Retail,1.828877211,108.037468
6430 JT Equity,Daikoku Denki Co Ltd,2.574347019,25679634432,2.302820956,Gambling,Travel & Leisure,0.872998595,104.7647705
8163 JT Equity,SRS Holdings Co Ltd,0.936251998,31781089280,,Restaurants & Bars,Travel & Leisure,2.215719223,104.2483673
6178 JT Equity,Japan Post Holdings Co Ltd,5.967313766,5.88E+12,4.126319798,Life Insurance,Insurance,0.383161664,100.9656525
1963 JT Equity,JGC Corp,-3.101196051,6.30E+11,1.118421084,Industrial Machinery,Industrial Goods & Services,1.53303051,100.6372528
5612 JT Equity,Nippon Chutetsukan KK,4.174229145,5433573376,,Iron & Steel,Basic Resources,0.462977231,97.63314056
8166 JT Equity,Taka-Q Co Ltd,0.250840992,5040989184,,Apparel Retailers,Retail,0.672668219,97.12393951
3926 JT Equity,Open Door Inc,33.34375381,67584118784,,Travel & Tourism,Travel & Leisure,16.58842087,95.80078125
3053 JT Equity,Pepper Food Service Co Ltd,6.344244003,1.25E+11,,Restaurants & Bars,Travel & Leisure,29.10098267,91.4588089
3778 JT Equity,Sakura Internet Inc,7.291670799,29457008640,0.319284802,Internet,Technology,3.808676958,90.83526611
6538 JT Equity,CareerIndex Inc,26.21191025,26614878208,0.196232339,Business Training Employment Agency,Industrial Goods & Services,14.50402641,87.71084595
6200 JT Equity,Insource Co Ltd,16.51281929,44155875328,0.386100386,Business Training Employment Agency,Industrial Goods & Services,28.66222191,87.33771515
9861 JT Equity,Yoshinoya Holdings Co Ltd,2.024655104,1.31E+11,0.995520159,Restaurants & Bars,Travel & Leisure,2.264619827,86.93582916
3963 JT Equity,Synchro Food Co Ltd,42.82722092,30644178944,,Internet,Technology,14.62052155,85.94876862
7524 JT Equity,Marche Corp,0.788942993,6874521600,,Restaurants & Bars,Travel & Leisure,2.169805527,85.89743042
4829 JT Equity,Nihon Enterprise Co Ltd,3.968789101,8934727680,,Mobile Telecommunications,Telecommunications,1.818261385,84.4854126
3421 JT Equity,Inaba Seisakusho Co Ltd,2.150172949,24840486912,,Furnishings,Personal & Household Goods,0.651216745,84.15301514
6282 JT Equity,Oiles Corp,7.767211914,79062663168,2.169197397,Industrial Machinery,Industrial Goods & Services,1.269261003,82.32142639
3655 JT Equity,BrainPad Inc,4.195607185,20788758528,,Computer Services,Technology,13.43833447,81.73843384
4406 JT Equity,New Japan Chemical Co Ltd,-1.69817102,9616252928,,Specialty Chemicals,Chemicals,0.676241994,81.11572266
6058 JT Equity,Vector Inc,15.06540775,1.17E+11,0.445368171,Media Agencies,Media,11.10262585,80.68998718
6196 JT Equity,Strike Co Ltd,37.20392609,61256044544,0.300157978,Business Support Services,Industrial Goods & Services,15.60291004,80.55484772
7105 JT Equity,Mitsubishi Logisnext Co Ltd,3.877933979,99195158528,1.207464325,Commercial Vehicles & Trucks,Industrial Goods & Services,1.078205705,79.0798645
6460 JT Equity,Sega Sammy Holdings Inc,8.046841621,4.32E+11,2.464571781,Toys,Personal & Household Goods,1.2090168,78.67183685
5901 JT Equity,Toyo Seikan Group Holdings Ltd,4.642135143,3.47E+11,0.878293601,Containers & Packaging,Industrial Goods & Services,0.469284236,77.71819305
3687 JT Equity,Fixstars Corp,18.76394272,51940524032,0.336134454,Software,Technology,22.39981461,77.62167358
8562 JT Equity,Fukushima Bank Ltd/The,13.40831089,18606999552,,Banks,Banks,0.574956656,77.61682129
6077 JT Equity,N Field Co Ltd,7.027723789,24121460736,0.346841739,Health Care Providers,Health Care,12.14526367,75.17497253
3067 JT Equity,Tokyo Ichiban Foods Co Ltd,2.523670912,5977000960,,Food Products,Food & Beverage,3.139282703,75.08269501
2413 JT Equity,M3 Inc,31.76484108,1.42E+12,0.25384966,Publishing,Media,18.11161804,75.08123779
7819 JT Equity,SHO-BI Corp,1.989027023,5712659968,,Apparel Retailers,Retail,1.101465225,74.21602631
9633 JT Equity,Tokyo Theatres Co Inc,1.886286974,11386473472,,Recreational Services,Travel & Leisure,0.785556972,73.77985382
3937 JT Equity,Ubicom Holdings Inc,7.9265728,10660264960,,Computer Services,Technology,8.369163513,73.58197021
8207 JT Equity,Ten Allied Co Ltd,0.53549099,12625274880,,Restaurants & Bars,Travel & Leisure,2.324912786,73.07691956
6240 JT Equity,Yamashin-Filter Corp,9.57144928,90500521984,0.244648322,Industrial Machinery,Industrial Goods & Services,10.74756718,71.01747894
7916 JT Equity,Mitsumura Printing Co Ltd,3.443880081,7446690816,,Business Support Services,Industrial Goods & Services,0.415661335,70.37369537
7122 JT Equity,Kinki Sharyo Co Ltd/The,-31.23353195,16946204672,,Commercial Vehicles & Trucks,Industrial Goods & Services,0.800916374,69.98574066
8617 JT Equity,Kosei Securities Co Ltd/The,-15.942029,13679388672,,Investment Services,Financial Services,0.801816225,69.52748871
8267 JT Equity,Aeon Co Ltd,2.849009037,1.75E+12,1.558992267,Broadline Retailers,Retail,1.459000349,68.62376404
4344 JT Equity,Sourcenext Corp,17.20856094,52308344832,0.36407767,Software,Technology,8.359926224,67.93074799
6088 JT Equity,SIGMAXYZ Inc,7.080405235,45316403200,,Business Support Services,Industrial Goods & Services,10.85329723,67.9180603
2127 JT Equity,Nihon M&A Center Inc,47.43822479,5.73E+11,0.591428593,Specialty Finance,Financial Services,26.60066032,67.84918213
4523 JT Equity,Eisai Co Ltd,11.26272297,2.03E+12,2.194265652,Pharmaceuticals,Health Care,3.31395936,67.33648682
3660 JT Equity,Istyle Inc,7.756247044,95621136384,0.041928723,Computer Services,Technology,7.966247082,66.96929932
6820 JT Equity,Icom Inc,3.038352966,39872249856,,Telecommunications Equipment,Technology,0.740502,66.67494202
2175 JT Equity,SMS Co Ltd,15.81623077,2.01E+11,0.283483247,Business Training Employment Agency,Industrial Goods & Services,11.0541811,66.11771393
6218 JT Equity,Enshu Ltd,-1.938022017,9974923264,,Industrial Machinery,Industrial Goods & Services,1.498865128,65.96639252
6050 JT Equity,E-Guardian Inc,16.01147842,43184070656,0.168674699,Internet,Technology,17.82512283,65.32347107
4568 JT Equity,Daiichi Sankyo Co Ltd,9.310728073,2.63E+12,1.885267977,Pharmaceuticals,Health Care,2.027386427,64.82192993
2168 JT Equity,Pasona Group Inc,1.600599051,71332102144,0.701344243,Business Training Employment Agency,Industrial Goods & Services,3.337712288,64.27497864
3708 JT Equity,Tokushu Tokai Paper Co Ltd,6.057798862,63574499328,,Paper,Basic Resources,0.870165169,63.96439362
9900 JT Equity,Sagami Chain Co Ltd,3.233479023,35803910144,,Restaurants & Bars,Travel & Leisure,2.53777647,62.60426331
8237 JT Equity,Matsuya Co Ltd,2.342991114,79081824256,0.404312668,Broadline Retailers,Retail,3.844102383,62.59754562
2884 JT Equity,Yoshimura Food Holdings KK,2.467835903,26031601664,,Food Products,Food & Beverage,6.328858376,61.966259
6187 JT Equity,Litalico Inc,7.674302101,29043849216,,Business Training Employment Agency,Industrial Goods & Services,13.3364296,61.95814514
3921 JT Equity,NEOJAPAN Inc,18.71056175,20150421504,0.176340933,Software,Technology,6.455315113,61.69257736
4552 JT Equity,JCR Pharmaceuticals Co Ltd,13.06053925,1.87E+11,0.428942808,Pharmaceuticals,Health Care,6.588565826,61.57294083
7915 JT Equity,Nissha Co Ltd,-3.371272087,1.48E+11,1.034126163,Business Support Services,Industrial Goods & Services,1.565856576,61.34878922
8142 JT Equity,Toho Co Ltd/Kobe,0.885223985,27563452416,,Food Retailers & Wholesalers,Retail,1.089452863,59.30858231
2170 JT Equity,Link And Motivation Inc,9.120723724,1.33E+11,0.60832624,Business Support Services,Industrial Goods & Services,18.57424927,58.99749374
7925 JT Equity,Maezawa Kasei Industries Co Ltd,4.11601305,18500831232,,Industrial Machinery,Industrial Goods & Services,0.477128923,58.97693253
4776 JT Equity,Cybozu Inc,8.440327644,27856117760,,Internet,Technology,7.565202236,58.47176361
2220 JT Equity,Kameda Seika Co Ltd,5.720627785,1.16E+11,0.946153861,Food Products,Food & Beverage,2.388405085,58.14603424
3678 JT Equity,Media Do Holdings Co Ltd,2.499414921,20443613184,0.682451253,Publishing,Media,4.871468544,57.97429276
3196 JT Equity,Hotland Co Ltd,3.407358885,24628359168,0.374251497,Restaurants & Bars,Travel & Leisure,5.98815918,57.78546906
7913 JT Equity,Tosho Printing Co Ltd,0.525611997,42012422144,,Business Support Services,Industrial Goods & Services,0.547949672,57.69800568
9601 JT Equity,Shochiku Co Ltd,6.958590984,2.17E+11,0.224502886,Broadcasting & Entertainment,Media,2.316401482,57.13950729
3784 JT Equity,VINX Corp,4.772644997,37597597696,,Computer Services,Technology,4.88931036,56.56404114
9755 JT Equity,Oyo Corp,1.860435009,42835734528,,Heavy Construction,Construction & Materials,0.613492668,56.22737122
9919 JT Equity,Kansai Super Market Ltd,1.522024989,38041677824,,Food Retailers & Wholesalers,Retail,1.141951323,56.15275955
3064 JT Equity,MonotaRO Co Ltd,13.39897156,4.79E+11,0.679738562,Business Support Services,Industrial Goods & Services,20.53907967,56.07682037
3415 JT Equity,Tokyo Base Co Ltd,12.31883526,69876375552,,Apparel Retailers,Retail,17.11433792,55.11226654
3852 JT Equity,Cyber Com Co Ltd,5.455912113,20094107648,,Software,Technology,4.652620792,54.9559021
8151 JT Equity,Toyo Corp/Chuo-ku,5.921597004,24963344384,,Electronic Equipment,Industrial Goods & Services,0.822190642,54.56101227
5185 JT Equity,FuKoKu Co Ltd,4.38277483,17556301824,,Specialty Chemicals,Chemicals,0.499058962,53.97943878
6080 JT Equity,M&A Capital Partners Co Ltd,43.85925674,1.37E+11,0.045402951,Specialty Finance,Financial Services,11.64692879,53.94978714
9854 JT Equity,Aigan Co Ltd,-0.319608986,9421040640,,Specialty Retailers,Retail,0.604613185,53.79061508
8160 JT Equity,Kisoji Co Ltd,2.415098906,72584806400,,Restaurants & Bars,Travel & Leisure,2.487964392,53.55640411
4926 JT Equity,C'BON COSMETICS Co Ltd,2.604017973,13452423168,,Personal Products,Personal & Household Goods,1.415771365,53.39558411
